Algorithm,Parameters,F1 Score,Adjusted Rand Score,Silhouette Score,Execution Time,clustering_results_gas-drift-different-concentrations
GaussianMixture,"{'covariance_type': 'spherical', 'max_iter': 100, 'n_components': 4}",0.13952704490942608,0.06689225785490699,0.18193119071865918,8.75321364402771,clustering_results_gas-drift-different-concentrations
GaussianMixture,"{'covariance_type': 'spherical', 'max_iter': 300, 'n_components': 2}",0.12149799672898837,0.07516678662416747,0.36597016763494894,3.6819326877593994,clustering_results_gas-drift-different-concentrations
GaussianMixture,"{'covariance_type': 'spherical', 'max_iter': 300, 'n_components': 3}",0.09605964305384504,0.050097664638824216,0.23928733231257324,7.364868879318237,clustering_results_gas-drift-different-concentrations
GaussianMixture,"{'covariance_type': 'spherical', 'max_iter': 300, 'n_components': 4}",0.17704325040327515,0.06689225785490699,0.18193119071865918,8.385955333709717,clustering_results_gas-drift-different-concentrations
GaussianMixture,"{'covariance_type': 'spherical', 'max_iter': 500, 'n_components': 2}",0.12149799672898837,0.07516678662416747,0.36597016763494894,3.898397922515869,clustering_results_gas-drift-different-concentrations
GaussianMixture,"{'covariance_type': 'spherical', 'max_iter': 500, 'n_components': 3}",0.10586761137810678,0.050097664638824216,0.23928733231257324,7.818985462188721,clustering_results_gas-drift-different-concentrations
GaussianMixture,"{'covariance_type': 'spherical', 'max_iter': 500, 'n_components': 4}",0.1346528658662766,0.06692459645292763,0.1819536169315357,8.149070501327515,clustering_results_gas-drift-different-concentrations
Birch,"{'branching_factor': 20, 'n_clusters': 3, 'threshold': 0.1}",0.08217602698986526,0.010445806958755164,0.45770787043615047,4.455398321151733,clustering_results_gas-drift-different-concentrations
Birch,"{'branching_factor': 20, 'n_clusters': 3, 'threshold': 0.5}",0.059260411420253845,0.009123501883495035,0.413723943651992,1.581674575805664,clustering_results_gas-drift-different-concentrations
Birch,"{'branching_factor': 20, 'n_clusters': 3, 'threshold': 1.0}",0.05916016037069457,-0.0025630241800745773,0.6083653726986803,1.6847119331359863,clustering_results_gas-drift-different-concentrations
Birch,"{'branching_factor': 20, 'n_clusters': 4, 'threshold': 0.1}",0.08560356705664408,0.00956954639139189,0.45479481438334596,5.695436239242554,clustering_results_gas-drift-different-concentrations
Birch,"{'branching_factor': 20, 'n_clusters': 4, 'threshold': 0.5}",0.06579903152477254,0.010453943171189403,0.41909626120853966,2.04852032661438,clustering_results_gas-drift-different-concentrations
Birch,"{'branching_factor': 20, 'n_clusters': 4, 'threshold': 1.0}",0.07651670662531991,-0.0025679797786265822,0.6082677146361469,1.0092504024505615,clustering_results_gas-drift-different-concentrations
Birch,"{'branching_factor': 20, 'n_clusters': 5, 'threshold': 0.1}",0.08611501372362346,0.009781741465113288,0.45464828504038574,4.798208713531494,clustering_results_gas-drift-different-concentrations
Birch,"{'branching_factor': 20, 'n_clusters': 5, 'threshold': 0.5}",0.06068685067373681,0.009768650230609065,0.4185581917946582,1.8994817733764648,clustering_results_gas-drift-different-concentrations
Birch,"{'branching_factor': 20, 'n_clusters': 5, 'threshold': 1.0}",0.08069202448152897,-0.0028303708530198566,0.5557097960606416,0.9182288646697998,clustering_results_gas-drift-different-concentrations
Birch,"{'branching_factor': 20, 'n_clusters': 6, 'threshold': 0.1}",0.12875435857706907,0.023722573090649342,0.44397187541787664,5.8304784297943115,clustering_results_gas-drift-different-concentrations
Birch,"{'branching_factor': 20, 'n_clusters': 6, 'threshold': 0.5}",0.05107491454308807,0.012054233814224017,0.384028872011243,1.6674184799194336,clustering_results_gas-drift-different-concentrations
Birch,"{'branching_factor': 20, 'n_clusters': 6, 'threshold': 1.0}",0.05862773750632634,-0.0028303662647218802,0.5555104575136285,1.4303467273712158,clustering_results_gas-drift-different-concentrations
Birch,"{'branching_factor': 20, 'n_clusters': 7, 'threshold': 0.1}",0.03111228109983957,0.017265434035791696,0.41299536420610833,4.875239133834839,clustering_results_gas-drift-different-concentrations
Birch,"{'branching_factor': 20, 'n_clusters': 7, 'threshold': 0.5}",0.16885615492537923,0.012060668434812584,0.38337654510079394,2.094287633895874,clustering_results_gas-drift-different-concentrations
Birch,"{'branching_factor': 20, 'n_clusters': 7, 'threshold': 1.0}",0.027324809444403835,-0.0028450761085957958,0.544433734397172,0.9632430076599121,clustering_results_gas-drift-different-concentrations
Birch,"{'branching_factor': 50, 'n_clusters': 3, 'threshold': 0.1}",0.1333589897329103,0.08328646549044015,0.3855914245456167,5.278940200805664,clustering_results_gas-drift-different-concentrations
Birch,"{'branching_factor': 50, 'n_clusters': 3, 'threshold': 0.5}",0.05829607911854801,-0.0019839044405939145,0.5708904637344607,1.5834012031555176,clustering_results_gas-drift-different-concentrations
Birch,"{'branching_factor': 50, 'n_clusters': 3, 'threshold': 1.0}",0.05916016037069457,-0.0025630241800745773,0.6083653726986803,1.2973299026489258,clustering_results_gas-drift-different-concentrations
Birch,"{'branching_factor': 50, 'n_clusters': 4, 'threshold': 0.1}",0.13336229492627405,0.08252772870819143,0.3815256103475751,4.119049787521362,clustering_results_gas-drift-different-concentrations
Birch,"{'branching_factor': 50, 'n_clusters': 4, 'threshold': 0.5}",0.10942395756801622,-0.004470658345294933,0.45088708474953526,1.8124432563781738,clustering_results_gas-drift-different-concentrations
Birch,"{'branching_factor': 50, 'n_clusters': 4, 'threshold': 1.0}",0.07651670662531991,-0.0025679797786265822,0.6082677146361469,0.96724534034729,clustering_results_gas-drift-different-concentrations
Birch,"{'branching_factor': 50, 'n_clusters': 5, 'threshold': 0.1}",0.11013440141534533,0.08218634416870534,0.38075106868662656,4.36711859703064,clustering_results_gas-drift-different-concentrations
